Timestep,Producers,Consumers,AvgSpeed,AvgGen,AvgMetab,AvgVision
176,22,9,5.0,17.11111111111111,0.9814834805390605,1.0
177,19,11,5.0,17.363636363636363,0.9814834805390606,1.0
178,14,13,4.923076923076923,17.384615384615383,0.9755584574452408,1.0
179,10,14,4.928571428571429,17.571428571428573,0.9759816733805137,1.0
180,10,15,4.933333333333334,17.466666666666665,0.9763484605244167,1.0
181,8,15,4.933333333333334,17.466666666666665,0.9763484605244167,1.0
182,6,15,4.933333333333334,17.466666666666665,0.9763484605244167,1.0
183,4,17,4.9411764705882355,17.764705882352942,0.9705257455495087,1.0
184,4,13,4.923076923076923,18.153846153846153,0.9736549868061736,1.0
185,3,13,4.923076923076923,18.153846153846153,0.9736549868061736,1.0
186,4,12,4.916666666666667,18.083333333333332,0.973002612328433,1.0
187,4,11,4.909090909090909,17.90909090909091,0.9722316243092849,1.0
188,4,7,4.857142857142857,18.142857142857142,0.9669448493208418,1.0
189,4,7,4.857142857142857,18.142857142857142,0.9669448493208418,1.0
190,6,4,5.0,17.75,0.9541694318883789,1.0
191,7,3,5.0,18.0,0.9450647490048184,1.0
192,7,2,5.0,16.5,0.9814834805390606,1.0
193,8,1,5.0,18.0,0.9814834805390606,1.0
194,8,1,5.0,18.0,0.9814834805390606,1.0
195,7,1,5.0,18.0,0.9814834805390606,1.0
196,6,2,5.0,18.5,0.9814834805390606,1.0
197,6,2,5.0,18.5,0.9814834805390606,1.0
198,5,3,5.0,19.0,0.9814834805390605,1.0
199,5,3,5.0,19.0,0.9814834805390605,1.0
200,5,3,5.0,19.0,0.9814834805390605,1.0
